0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.489998 1.01078 1 1 0 1022.91 1.04636e+06 0.113025
0.02 -0.479977 1.00962 1 1 0 1021.84 1.04416e+06 0.112891
0.03 -0.469928 1.01855 1 1 0 1020.78 1.04199e+06 0.111959
0.04 -0.459866 0.999959 1 1 0 1019.67 1.03974e+06 0.112085
0.05 -0.449804 1.01459 0.999999 0.999999 1.38833e-05 1018.62 1.03759e+06 0.112074
0.06 -0.439709 1.01218 0.999992 0.999983 0.000139655 1017.48 1.03528e+06 0.111213
0.07 -0.4295 1.02591 0.999943 0.999887 0.000820535 1016.4 1.03308e+06 0.110812
0.08 -0.419248 1.041 0.999784 0.999568 0.00271321 1015.26 1.03077e+06 0.110214
0.09 -0.408769 1.06523 0.999351 0.998704 0.00715395 1014.09 1.02839e+06 0.113497
0.1 -0.397926 1.09545 0.99848 0.996964 0.0153926 1012.86 1.0259e+06 0.115377
0.11 -0.386455 1.16508 0.996894 0.993804 0.028266 1011.45 1.02304e+06 0.115111
0.12 -0.374342 1.27555 0.994386 0.988814 0.0479215 1009.91 1.01993e+06 0.116276
0.13 -0.361113 1.37771 0.990624 0.981353 0.076727 1008.06 1.01621e+06 0.120578
0.14 -0.346817 1.45732 0.985384 0.971007 0.108148 1005.85 1.01175e+06 0.122848
0.15 -0.331106 1.66034 0.978366 0.95724 0.156316 1003.32 1.00667e+06 0.129015
0.16 -0.313927 1.80718 0.969295 0.939591 0.211084 1000.26 1.00053e+06 0.134317
0.17 -0.294798 2.04057 0.957781 0.917432 0.295331 996.551 993138 0.148995
0.18 -0.273165 2.23662 0.943041 0.889448 0.388227 991.917 983928 0.164621
0.19 -0.248974 2.54325 0.924567 0.854998 0.527054 986.124 972478 0.194236
0.2 -0.22062 3.10198 0.900277 0.810764 0.762601 978.267 957056 0.251083
0.21 -0.184651 4.37096 0.864805 0.748399 1.39981 966.063 933365 0.432797
0.22 0.200923 0.858275 0.0806495 0.00668717 0.478684 490.298 240550 1.4663
0.23 0.209028 0.783712 0.0756493 0.00589721 0.436746 483.983 234401 1.44791
0.24 0.216749 0.744363 0.0713326 0.00524321 0.371706 478.106 228739 1.33698
0.25 0.224058 0.675192 0.0680319 0.00477255 0.332259 473.197 224065 1.26641
0.26 0.230582 0.63042 0.0649319 0.00435478 0.307101 468.418 219562 1.20589
0.27 0.236633 0.595308 0.0631056 0.00411219 0.277046 464.891 216269 1.15886
0.28 0.242378 0.552214 0.0614055 0.00389706 0.260074 461.632 213245 1.09525
0.29 0.248277 0.539923 0.0597994 0.00369907 0.244515 458.128 210030 1.11686
0.3 0.253416 0.517127 0.0588337 0.00358107 0.229769 455.649 207763 1.07473
0.31 0.258209 0.479467 0.0578336 0.00345746 0.209473 453.242 205571 1.01528
0.32 0.263139 0.473054 0.0571658 0.00338334 0.207737 451.034 203581 1.03581
0.33 0.267949 0.453486 0.0564442 0.00329844 0.196354 448.68 201465 1.01826
0.34 0.272369 0.441716 0.0562002 0.00327215 0.1926 447.026 199983 0.995195
0.35 0.276529 0.433863 0.056025 0.00325082 0.184349 445.495 198618 0.972157
0.36 0.280856 0.409284 0.0558687 0.00323452 0.181132 443.876 197182 0.977478
0.37 0.28501 0.406868 0.0557888 0.00322303 0.172239 442.496 195960 0.96052
0.38 0.288847 0.397828 0.0556538 0.00320795 0.167647 441.369 194964 0.937844
0.39 0.292984 0.381166 0.0556239 0.00320373 0.162036 439.846 193623 0.920273
0.4 0.296784 0.375189 0.0558012 0.00322347 0.157958 438.847 192745 0.901439
0.41 0.300984 0.375032 0.0558536 0.00323092 0.156362 437.452 191529 0.922114
0.42 0.304376 0.364346 0.0562015 0.0032691 0.151533 436.758 190922 0.893278
0.43 0.307558 0.350985 0.0566262 0.00331735 0.148454 436.254 190482 0.873827
0.44 0.311282 0.354136 0.0568761 0.00334696 0.146704 435.319 189672 0.886891
0.45 0.314688 0.349555 0.0576045 0.00343149 0.144908 435.138 189518 0.882727
0.46 0.318105 0.336052 0.0576942 0.00344421 0.144735 434.241 188740 0.874498
0.47 0.321554 0.335069 0.0580771 0.00348971 0.143093 433.568 188160 0.878154
0.48 0.324706 0.326342 0.0587302 0.00356512 0.139058 433.223 187859 0.851774
0.49 0.328192 0.329703 0.0593121 0.00363501 0.137641 432.719 187427 0.855145
0.5 0.331427 0.32337 0.0598603 0.00370082 0.135429 432.242 187013 0.833629
0.51 0.334548 0.333273 0.0605453 0.00378835 0.138487 432.115 186913 0.860146
0.52 0.337841 0.314519 0.0610053 0.0038425 0.133874 431.751 186595 0.830155
0.53 0.341264 0.319737 0.0616219 0.00392068 0.134137 431.198 186123 0.835985
0.54 0.344327 0.311788 0.0623783 0.00401377 0.130903 431.251 186166 0.810585
