0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.55 0.347486 0.314444 0.0630085 0.00409927 0.135303 430.944 185915 0.855172
0.56 0.350583 0.306827 0.0636716 0.00418078 0.130328 430.807 185792 0.816468
0.57 0.353477 0.310766 0.0646359 0.00430897 0.13256 430.912 185889 0.831507
0.58 0.356407 0.309116 0.0651504 0.00437652 0.131033 430.602 185620 0.811142
0.59 0.359623 0.307759 0.0659458 0.00448132 0.129323 430.758 185756 0.798544
0.6 0.362691 0.310965 0.0669312 0.00461493 0.129747 430.93 185908 0.801195
0.61 0.365922 0.307693 0.0675696 0.00469948 0.126363 430.747 185751 0.793035
0.62 0.368844 0.305288 0.0685533 0.00483765 0.128297 430.968 185943 0.785381
0.63 0.371678 0.30516 0.0694211 0.00496156 0.130073 431.204 186148 0.77943
0.64 0.374621 0.303003 0.0700459 0.00504744 0.126912 431.156 186115 0.79422
0.65 0.377924 0.30355 0.0710078 0.00518642 0.127879 431.153 186107 0.764821
0.66 0.381007 0.298409 0.0718786 0.00531275 0.127613 431.419 186344 0.77952
0.67 0.38388 0.302951 0.0728757 0.0054587 0.127095 431.689 186578 0.769876
0.68 0.386873 0.298591 0.073788 0.00559575 0.127971 432.004 186854 0.77004
0.69 0.389958 0.302114 0.0746102 0.00571886 0.12704 432.102 186941 0.767832
0.7 0.392898 0.302021 0.0756104 0.00586847 0.12469 432.286 187100 0.756007
0.71 0.396243 0.300022 0.0767206 0.00604119 0.125859 432.455 187253 0.765826
0.72 0.399279 0.303849 0.0773852 0.00614505 0.125258 432.597 187373 0.74942
0.73 0.402041 0.30526 0.078416 0.00630657 0.124278 433.074 187786 0.736131
0.74 0.405495 0.30775 0.0796918 0.00650932 0.123398 433.665 188300 0.732562
0.75 0.408109 0.307604 0.0806583 0.00667147 0.127257 434.232 188805 0.758512
0.76 0.411311 0.306448 0.0818065 0.00685917 0.126462 434.621 189142 0.747313
0.77 0.414245 0.300544 0.0827543 0.00701806 0.127005 435.077 189542 0.745904
0.78 0.417184 0.308282 0.0835945 0.00715947 0.126594 435.13 189593 0.752366
0.79 0.420653 0.305579 0.0848125 0.00736571 0.125809 435.62 190015 0.726735
0.8 0.423725 0.309205 0.0859786 0.00756727 0.125969 436.396 190700 0.739356
0.81 0.426694 0.306532 0.0866815 0.00769022 0.125538 436.131 190469 0.732998
0.82 0.429545 0.306068 0.0877712 0.00788144 0.124794 436.85 191099 0.727748
0.83 0.432815 0.30941 0.0887503 0.0080558 0.124341 436.89 191130 0.710272
0.84 0.436086 0.317216 0.0899816 0.00828053 0.126062 437.759 191897 0.717873
0.85 0.438957 0.307669 0.0909294 0.0084499 0.123153 438.039 192138 0.696632
0.86 0.442263 0.313061 0.0920746 0.00866374 0.124587 438.574 192615 0.710504
0.87 0.445274 0.31117 0.0934951 0.00893233 0.126462 439.622 193546 0.730012
0.88 0.448443 0.314848 0.0945558 0.00913124 0.12465 440.196 194050 0.716809
0.89 0.451574 0.319471 0.0952942 0.00927872 0.127974 440.068 193943 0.722658
0.9 0.454538 0.321014 0.0969093 0.00958389 0.123185 441.385 195099 0.70025
0.91 0.457858 0.317063 0.0981488 0.00983129 0.125394 442.133 195766 0.706128
0.92 0.461032 0.319214 0.0987861 0.00995804 0.124806 441.968 195616 0.688744
0.93 0.464466 0.319773 0.100094 0.0102254 0.127979 442.506 196100 0.700726
0.94 0.467556 0.317177 0.101243 0.0104534 0.124532 443.3 196801 0.685953
0.95 0.470776 0.323754 0.101965 0.0106003 0.12332 443.232 196738 0.672996
0.96 0.47404 0.319598 0.103289 0.0108807 0.127249 443.848 197295 0.690889
0.97 0.477268 0.319356 0.104469 0.0111264 0.126305 444.666 198023 0.684716
0.98 0.480621 0.31866 0.105531 0.0113532 0.127205 445.009 198335 0.691483
0.99 0.483657 0.323181 0.106772 0.0116185 0.126957 445.831 199067 0.683009
