0 -1.07167e-16 -nan 1 1 -nan 144 20736 -nan
0.01 0.0100638 1.00647 1 1 0 142.919 20426.1 0.111974
0.02 0.020271 1.01845 1 1 0 141.82 20113.2 0.111106
0.03 0.0306248 1.04758 1 1 0 140.695 19795.7 0.114399
0.04 0.0412114 1.07981 1 0.999999 8.67882e-06 139.551 19475 0.117774
0.05 0.0519222 1.07593 0.99999 0.99998 0.000198505 138.391 19152.9 0.115889
0.06 0.0628522 1.10749 0.999934 0.999868 0.00108803 137.208 18827 0.11785
0.07 0.0741822 1.13206 0.999716 0.999432 0.00407 136.003 18498.1 0.120721
0.08 0.0859293 1.19567 0.999118 0.998238 0.0113809 134.796 18171.2 0.123938
0.09 0.0983226 1.25922 0.997874 0.995755 0.0246584 133.597 17849.6 0.125789
0.1 0.111642 1.37653 0.995619 0.991265 0.0476536 132.443 17542.9 0.129712
0.11 0.126025 1.48655 0.991944 0.98397 0.0838034 131.353 17255.6 0.135333
0.12 0.141711 1.63488 0.986389 0.972993 0.139576 130.348 16992.9 0.14393
0.13 0.15837 1.75331 0.978972 0.958433 0.202256 129.448 16759.3 0.151224
0.14 0.176522 1.86922 0.968318 0.937719 0.324717 128.847 16604.6 0.166847
0.15 0.195321 1.87756 0.955259 0.91264 0.460837 128.469 16508.1 0.193246
0.16 0.215661 2.04077 0.937622 0.879333 0.712651 128.585 16539.1 0.23892
0.17 0.236008 2.11024 0.91636 0.840048 1.1241 129.211 16702.8 0.328012
0.18 0.203917 0.88777 0.0274486 0.000811787 0.186756 430.302 185245 1.0946
0.19 0.212307 0.829914 0.0309083 0.0010191 0.193331 423.968 179836 1.08815
0.2 0.220679 0.798981 0.0347723 0.00128361 0.214541 417.417 174330 1.11305
0.21 0.22835 0.774033 0.0382329 0.0015444 0.226696 411.729 169617 1.12133
0.22 0.23598 0.745296 0.0421925 0.00187354 0.244361 405.768 164750 1.13756
0.23 0.243156 0.705313 0.0458337 0.00220614 0.263998 400.419 160440 1.1287
0.24 0.250207 0.696776 0.0497563 0.00259281 0.281097 395.147 156253 1.1791
0.25 0.256833 0.679181 0.0535484 0.00299618 0.296622 389.931 152160 1.16937
0.26 0.263639 0.667938 0.0580188 0.00350246 0.301894 384.712 148121 1.17801
0.27 0.270165 0.647033 0.0617441 0.00396801 0.332112 379.945 144485 1.24171
0.28 0.276904 0.635193 0.066715 0.0046195 0.346849 374.431 140328 1.23614
0.29 0.283232 0.626232 0.0710677 0.00522954 0.355377 369.617 136749 1.23329
0.3 0.289552 0.623251 0.0759721 0.00596891 0.378521 364.56 133043 1.27139
0.31 0.295602 0.633781 0.0801602 0.00664734 0.411906 360.035 129774 1.33252
0.32 0.301854 0.631879 0.0853884 0.00753108 0.431832 355.026 126198 1.36526
0.33 0.308291 0.633936 0.0906968 0.00849129 0.463217 349.943 122623 1.41672
0.34 0.314673 0.637909 0.0960364 0.00950739 0.481817 344.88 119109 1.42581
0.35 0.32074 0.627932 0.100936 0.010493 0.501838 340.366 116020 1.43121
0.36 0.327303 0.634417 0.107562 0.0119126 0.548865 334.918 112353 1.51547
0.37 0.333421 0.652054 0.112754 0.0130883 0.58352 330.48 109409 1.57186
0.38 0.340116 0.652827 0.119678 0.014726 0.611131 324.782 105681 1.60217
0.39 0.346979 0.681411 0.126569 0.0164842 0.685822 319.381 102216 1.70019
0.4 0.353987 0.724085 0.134538 0.0186327 0.766248 313.585 98567 1.84347
0.41 0.361808 0.74243 0.143528 0.021192 0.83128 307.141 94576.5 1.91289
0.42 0.369602 0.805044 0.152549 0.0239863 0.980612 300.614 90642.2 2.16351
0.43 0.377705 0.846718 0.162693 0.0272808 1.0876 293.956 86702.4 2.31413
0.44 0.385961 0.885036 0.173504 0.0310326 1.21599 287.055 82709.1 2.44288
0.45 0.395423 0.950174 0.18578 0.0356162 1.41067 279.335 78364.7 2.67728
0.46 0.405066 1.11047 0.199837 0.0413939 1.82712 271.224 73971 3.27452
0.47 0.417962 1.31467 0.221158 0.0509367 2.48248 259.965 68070.5 3.999
0.48 0.431305 1.52044 0.244422 0.0625016 3.31145 248.279 62218.3 4.83045
0.49 0.446632 1.78041 0.27306 0.0784285 4.54565 235.078 55951 5.98508
0.5 0.464776 1.84341 0.310633 0.101294 5.53085 219.021 48698.5 6.65125
0.51 0.48143 1.73803 0.346102 0.12506 5.95559 205.028 42731.9 6.64876
0.52 0.497601 1.37429 0.383472 0.15194 5.41521 191.146 37089.3 5.55892
0.53 0.510109 1.0373 0.410477 0.172409 4.25773 181.349 33280.1 4.08558
0.54 0.519478 0.860581 0.429642 0.188022 3.65823 174.728 30845.6 3.34723
0.55 0.527127 0.702329 0.44356 0.199556 2.94406 169.856 29092.4 2.58287
0.56 0.533544 0.622064 0.453729 0.20837 2.57111 166.264 27848.2 2.19481
0.57 0.539015 0.553572 0.461332 0.215071 2.26671 163.56 26927.6 1.88574
0.58 0.544608 0.503526 0.469673 0.222572 1.96593 160.573 25932 1.59397
0.59 0.549459 0.453773 0.476095 0.228455 1.7465 158.241 25167.2 1.35875
0.6 0.553532 0.44121 0.478456 0.230583 1.59618 157.059 24784.6 1.24297
0.61 0.557882 0.418048 0.483459 0.235366 1.54199 155.217 24205.9 1.2012
0.62 0.562389 0.389338 0.488433 0.239978 1.31101 153.287 23590.7 0.986539
0.63 0.566228 0.376378 0.491502 0.24292 1.23024 152.014 23196.2 0.917673
0.64 0.569981 0.354511 0.494251 0.245586 1.17225 150.784 22821.1 0.884364
0.65 0.5732 0.358842 0.495735 0.247062 1.16055 149.937 22567.5 0.885045
0.66 0.576838 0.338158 0.497728 0.248919 1.03468 148.932 22256.7 0.772053
0.67 0.580092 0.32988 0.50031 0.25147 0.997346 147.823 21926.8 0.757224
0.68 0.583171 0.317716 0.500959 0.252141 1.00099 147.236 21754.2 0.756991
0.69 0.586371 0.314626 0.50255 0.253682 0.939968 146.371 21496.2 0.71056
0.7 0.589788 0.306595 0.503492 0.254556 0.864992 145.6 21265.9 0.652259
0.71 0.592449 0.300817 0.504836 0.255902 0.845433 144.912 21066.1 0.649238
0.72 0.595448 0.288927 0.506029 0.257086 0.817027 144.204 20859.1 0.619343
0.73 0.598337 0.276635 0.507256 0.25831 0.790364 143.478 20648.6 0.598099
0.74 0.600999 0.273902 0.507687 0.258724 0.760914 142.936 20491.1 0.570023
0.75 0.603679 0.26615 0.508549 0.259583 0.737865 142.355 20324.9 0.561083
0.76 0.60633 0.258852 0.508761 0.259781 0.71489 141.904 20195.9 0.54882
0.77 0.609154 0.254249 0.509571 0.260566 0.675451 141.281 20016.2 0.512336
0.78 0.611586 0.249878 0.510291 0.26128 0.651908 140.756 19867.5 0.502025
0.79 0.614072 0.243692 0.510766 0.261767 0.645328 140.301 19739.6 0.497843
0.8 0.616608 0.239483 0.510788 0.261772 0.6249 139.917 19631.1 0.486615
0.81 0.618959 0.235357 0.511966 0.262965 0.608676 139.272 19449.9 0.472262
0.82 0.621045 0.227926 0.512604 0.263608 0.593593 138.836 19328.2 0.462936
0.83 0.623635 0.228945 0.512754 0.263742 0.572712 138.421 19213 0.458855
0.84 0.62589 0.222674 0.51343 0.264431 0.562943 137.917 19073.4 0.450916
0.85 0.627872 0.218836 0.513036 0.264022 0.552966 137.709 19015.5 0.44117
0.86 0.630291 0.216484 0.513748 0.264742 0.539248 137.159 18863.8 0.434787
0.87 0.632301 0.210909 0.514508 0.265507 0.522098 136.726 18744 0.421069
0.88 0.634485 0.209823 0.514137 0.265112 0.507335 136.484 18678 0.41632
0.89 0.636495 0.204262 0.513999 0.26498 0.507709 136.248 18613.1 0.408667
0.9 0.638423 0.1964 0.51447 0.265436 0.484539 135.819 18495.4 0.397519
0.91 0.640382 0.200922 0.514554 0.265526 0.481509 135.516 18413.7 0.398741
0.92 0.642575 0.192099 0.515198 0.266172 0.465337 135.051 18287.1 0.388195
0.93 0.64434 0.188498 0.515243 0.266215 0.457767 134.764 18208.7 0.378751
0.94 0.646515 0.191308 0.515165 0.266139 0.456196 134.449 18123.9 0.373956
0.95 0.647976 0.187442 0.514787 0.265733 0.440828 134.388 18107.3 0.369296
0.96 0.650143 0.17919 0.515373 0.266328 0.431416 133.947 17988.2 0.361874
0.97 0.651716 0.179855 0.515276 0.266225 0.424933 133.728 17929.5 0.35631
0.98 0.653305 0.176984 0.515378 0.26632 0.415108 133.456 17857.5 0.359473
0.99 0.655588 0.171831 0.515936 0.26689 0.407615 132.985 17730.8 0.347365
