0 -1.07938e-16 -nan 1 1 -nan 144 20736 -nan
0.75 0.603841 0.268714 0.50859 0.259609 0.725875 142.335 20318.6 0.556624
0.76 0.606652 0.26009 0.509815 0.26083 0.696321 141.631 20116 0.526852
0.77 0.608941 0.254506 0.51002 0.261027 0.678423 141.235 20003.9 0.519286
0.78 0.611266 0.249409 0.509689 0.260676 0.659629 141.017 19941.2 0.504402
0.79 0.614002 0.248708 0.510341 0.261327 0.641156 140.422 19773.1 0.495119
0.8 0.616572 0.240684 0.511301 0.262304 0.630325 139.841 19610.5 0.493052
0.81 0.618718 0.234982 0.511385 0.262379 0.61452 139.509 19517.2 0.482062
0.82 0.621029 0.234485 0.512149 0.263136 0.589592 138.935 19355.2 0.460102
0.83 0.623367 0.230168 0.512236 0.263232 0.587501 138.563 19253.3 0.46694
0.84 0.625514 0.220685 0.512937 0.263909 0.551978 138.12 19127.9 0.437581
0.85 0.627903 0.217774 0.513611 0.264598 0.543197 137.576 18977.5 0.431154
0.86 0.630178 0.213975 0.5138 0.264799 0.541413 137.145 18860.1 0.436028
0.87 0.632475 0.212876 0.514287 0.265273 0.51759 136.724 18743.4 0.419412
0.88 0.634298 0.21067 0.514469 0.265473 0.520523 136.456 18670.7 0.420238
0.89 0.636492 0.202842 0.514832 0.265804 0.487257 136.058 18559.8 0.3975
0.9 0.638586 0.203589 0.515225 0.266236 0.498819 135.596 18436.9 0.415201
0.91 0.640357 0.199428 0.51478 0.265748 0.474561 135.46 18397.5 0.388923
0.92 0.642487 0.197637 0.51524 0.266223 0.470268 135.044 18285.3 0.390257
0.93 0.644351 0.19244 0.514896 0.265857 0.457633 134.868 18238.1 0.387169
0.94 0.646307 0.18543 0.515461 0.266422 0.442573 134.428 18116.9 0.364692
0.95 0.648172 0.183393 0.515144 0.266091 0.435469 134.232 18063.8 0.357561
0.96 0.649961 0.184087 0.515883 0.266856 0.432323 133.774 17942.7 0.366607
0.97 0.651786 0.178722 0.515395 0.266338 0.419674 133.66 17911.9 0.361977
0.98 0.653376 0.174185 0.515725 0.266675 0.412978 133.334 17823.4 0.347047
0.99 0.655385 0.174423 0.51562 0.266572 0.411813 133.087 17759.2 0.356278
