0 -1.07167e-16 -nan 1 1 -nan 144 20736 -nan
0.01 0.0100611 1.02339 1 1 0 142.923 20427.1 0.111273
0.02 0.020269 1.01857 1 1 0 141.816 20112.2 0.116059
0.03 0.0306438 1.03777 1 1 0 140.703 19797.7 0.114004
0.04 0.0411787 1.0685 1 1 0 139.56 19477.6 0.115769
0.05 0.051922 1.05755 0.999993 0.999985 0.000146942 138.386 19151.6 0.116539
0.06 0.0628537 1.09861 0.999934 0.999867 0.00111808 137.205 18826.3 0.118611
0.07 0.0742089 1.15942 0.999712 0.999424 0.00412725 135.999 18497 0.12064
0.08 0.0859221 1.20101 0.999123 0.998248 0.0112494 134.782 18167.5 0.123891
0.09 0.0983822 1.27927 0.997867 0.995743 0.0243849 133.604 17851.5 0.124207
0.1 0.111705 1.36928 0.995622 0.991272 0.0463271 132.438 17541.7 0.131728
0.11 0.126036 1.48226 0.991951 0.983982 0.0829258 131.329 17249.3 0.136909
0.12 0.141608 1.62992 0.986454 0.97312 0.137621 130.353 16994.2 0.146087
0.13 0.15844 1.71688 0.978771 0.958041 0.209549 129.48 16767.8 0.154995
0.14 0.176516 1.86368 0.96844 0.937953 0.318088 128.841 16603.1 0.170216
0.15 0.195291 1.92412 0.955265 0.91265 0.457376 128.478 16510.1 0.190785
0.16 0.215296 2.01521 0.938428 0.880833 0.672042 128.494 16515.5 0.229138
0.17 0.235908 2.11582 0.916839 0.840906 1.06088 129.134 16682.5 0.307413
0.18 0.212341 7.99135 0.159702 0.12126 306.419 384.022 159179 169.35
0.19 0.212253 0.819343 0.0309889 0.00102457 0.194817 423.958 179829 1.0962
0.2 0.22073 0.800587 0.0347431 0.00128367 0.220566 417.474 174378 1.12231
0.21 0.228228 0.748785 0.0380524 0.00153069 0.226837 411.915 169768 1.08541
0.22 0.236109 0.745554 0.0422508 0.0018789 0.245502 405.72 164709 1.12628
0.23 0.243461 0.713971 0.0460457 0.00222444 0.261033 400.169 160241 1.1408
0.24 0.250359 0.702656 0.0500155 0.00261888 0.281595 394.856 156023 1.18449
0.25 0.256968 0.676063 0.0536657 0.00300812 0.295171 389.848 152097 1.18744
