0 -1.07167e-16 -nan 1 1 -nan 144 20736 -nan
0.01 0.0100672 1.01663 1 1 0 142.918 20425.8 0.110629
0.02 0.0202695 1.04365 1 1 0 141.82 20113.2 0.114369
0.03 0.0306506 1.0467 1 1 0 140.7 19796.8 0.11399
0.04 0.0412063 1.05895 1 0.999999 6.50944e-06 139.553 19475.6 0.114238
0.05 0.0519096 1.09843 0.999992 0.999984 0.000160739 138.39 19152.6 0.117054
0.06 0.0628872 1.10865 0.999936 0.999871 0.00108286 137.207 18826.9 0.119055
0.07 0.0741702 1.15609 0.999708 0.999416 0.00422888 135.999 18496.8 0.121112
0.08 0.0859821 1.21483 0.999117 0.998237 0.0113721 134.798 18171.9 0.121608
0.09 0.0983441 1.28804 0.997858 0.995725 0.0249162 133.605 17851.7 0.127313
0.1 0.111634 1.3808 0.995644 0.991315 0.0477016 132.436 17541 0.130357
0.11 0.125882 1.48039 0.992069 0.984216 0.0809854 131.332 17250 0.136057
0.12 0.141596 1.63249 0.986464 0.973139 0.13678 130.353 16994.2 0.143117
0.13 0.158456 1.70753 0.978756 0.95801 0.206692 129.47 16765.1 0.152636
0.14 0.1764 1.86166 0.968352 0.937783 0.315948 128.872 16611.1 0.167879
0.15 0.195483 1.9284 0.955159 0.912448 0.458283 128.479 16510.4 0.189331
0.16 0.215257 2.02932 0.938061 0.880153 0.701718 128.569 16535 0.236663
0.17 0.23566 2.13127 0.917387 0.841948 1.18322 129.066 16665.7 0.345462
0.18 0.23227 14.1128 0.48724 0.422712 592.99 270.384 95487.9 459.846
0.19 0.212369 0.819789 0.0308993 0.00101885 0.19426 423.885 179767 1.09135
0.2 0.220712 0.81362 0.0349913 0.00130019 0.218307 417.419 174333 1.12542
0.21 0.228457 0.777984 0.0383677 0.00155976 0.240481 411.666 169568 1.15261
0.22 0.235934 0.73569 0.0421353 0.00186899 0.245076 405.952 164899 1.14159
0.23 0.243304 0.709241 0.0458332 0.00220527 0.261944 400.335 160375 1.16202
0.24 0.250292 0.691807 0.0499543 0.00261278 0.281628 394.887 156048 1.17819
0.25 0.256925 0.685164 0.053699 0.0030149 0.302571 389.892 152132 1.19325
0.26 0.263692 0.67223 0.057953 0.00349936 0.311929 384.645 148072 1.19915
0.27 0.270333 0.643237 0.0617618 0.00396927 0.330137 379.876 144432 1.2332
0.28 0.276853 0.644432 0.0661514 0.00454385 0.345275 374.688 140521 1.2333
0.29 0.283221 0.631453 0.071164 0.00525059 0.369989 369.594 136737 1.27983
0.3 0.289605 0.615839 0.0757707 0.00593196 0.366271 364.669 133119 1.24023
0.31 0.29588 0.617665 0.0803815 0.00667811 0.403053 359.75 129563 1.28236
0.32 0.302083 0.614378 0.0854771 0.00753513 0.411829 354.945 126134 1.30195
0.33 0.308346 0.636277 0.0907906 0.00850433 0.456243 349.876 122574 1.3914
0.34 0.314743 0.644037 0.0960492 0.00951213 0.485667 344.978 119180 1.44478
0.35 0.320578 0.648941 0.100805 0.0104718 0.510398 340.487 116107 1.47227
0.36 0.327507 0.660781 0.107824 0.0119778 0.562674 334.756 112250 1.56313
0.37 0.334082 0.664899 0.114067 0.0134011 0.606927 329.351 108668 1.60936
0.38 0.340587 0.681204 0.1205 0.014947 0.647025 324.32 105388 1.65438
0.39 0.347596 0.675158 0.127995 0.0168377 0.672065 318.498 101651 1.69245
0.4 0.354724 0.726466 0.13546 0.0188861 0.772841 312.796 98074.2 1.8634
0.41 0.361765 0.755153 0.142996 0.0210431 0.836178 307.236 94641.6 1.96741
0.42 0.369041 0.776312 0.151621 0.0236662 0.929062 301.218 90992 2.05354
0.43 0.377109 0.811941 0.161382 0.02682 1.03941 294.584 87058.2 2.20016
0.44 0.386116 0.903322 0.173475 0.0310307 1.22697 286.935 82645 2.48234
0.45 0.396076 0.959501 0.187289 0.0361649 1.39213 278.542 77918.5 2.65709
0.46 0.405508 1.1294 0.201394 0.0420327 1.84453 270.5 73573.6 3.23983
0.47 0.418055 1.24109 0.220897 0.0506754 2.30414 259.848 67979.3 3.75282
0.48 0.431432 1.55538 0.244051 0.0623823 3.38566 248.384 62289 4.98462
0.49 0.445097 1.63352 0.268812 0.0757636 4.11869 236.729 56675 5.47037
0.5 0.463981 1.86243 0.307413 0.0992287 5.44412 220.148 49191.6 6.59908
0.51 0.483346 1.61897 0.350955 0.128072 5.5369 202.976 41829.7 6.09038
0.52 0.496727 1.34534 0.379562 0.148625 5.04886 192.278 37498.6 5.27939
0.53 0.508103 1.19811 0.40424 0.167839 4.81312 183.517 34148.1 4.8285
0.54 0.51948 0.829855 0.429635 0.187846 3.47685 174.689 30817.4 3.19237
0.55 0.528108 0.653352 0.446779 0.202219 2.73092 168.867 28732.4 2.32866
0.56 0.534015 0.60495 0.455662 0.210055 2.49553 165.66 27636.4 2.08149
0.57 0.539516 0.556678 0.463477 0.216984 2.19639 162.921 26712 1.81643
0.58 0.544861 0.492202 0.471257 0.224014 1.91722 160.17 25797.7 1.54327
0.59 0.549413 0.474762 0.476479 0.228913 1.83606 158.206 25165.7 1.46452
0.6 0.553963 0.420391 0.480479 0.232413 1.49126 156.502 24600.7 1.14804
0.61 0.558093 0.405906 0.48443 0.236232 1.47269 154.939 24112.9 1.13048
0.62 0.561754 0.392011 0.486588 0.238206 1.33669 153.869 23772.8 1.01924
