0 -1.11022e-16 -nan 1 1 -nan 144 20736 -nan
0.01 0.0100653 1.01302 1 1 0 142.916 20425.1 0.111882
0.02 0.020279 1.021 1 1 0 141.811 20110.8 0.114587
0.03 0.0306395 1.04987 1 1 0 140.699 19796.7 0.113863
0.04 0.041186 1.07747 1 1 0 139.556 19476.4 0.114285
0.05 0.0519056 1.07384 0.999991 0.999982 0.000179617 138.389 19152.2 0.118586
0.06 0.0628593 1.12016 0.999935 0.99987 0.00107776 137.203 18825.6 0.118057
0.07 0.0741706 1.1742 0.999718 0.999437 0.00408463 135.999 18496.9 0.119506
0.08 0.0859346 1.21071 0.999121 0.998245 0.0113447 134.794 18170.8 0.122838
0.09 0.0983155 1.26164 0.997901 0.995811 0.0244497 133.603 17851.4 0.127298
0.1 0.111755 1.39905 0.995576 0.99118 0.0482442 132.437 17541.3 0.130543
0.11 0.125906 1.46901 0.992073 0.984224 0.0801047 131.338 17251.6 0.134453
0.12 0.141534 1.60888 0.986526 0.973261 0.135103 130.353 16994.2 0.141385
0.13 0.158398 1.76502 0.978849 0.958195 0.21752 129.475 16766.4 0.154478
0.14 0.17654 1.88571 0.968401 0.937878 0.31891 128.852 16606 0.170726
0.15 0.195242 1.95773 0.955206 0.912539 0.461757 128.496 16515.1 0.194171
0.16 0.215283 2.00328 0.938286 0.880569 0.681037 128.521 16522.4 0.232825
0.17 0.235921 2.11409 0.916457 0.84023 1.13726 129.183 16695.4 0.328218
0.18 0.203761 0.905516 0.0272781 0.000802231 0.186031 430.399 185330 1.11521
0.19 0.212231 0.849219 0.0309043 0.00102245 0.204255 423.911 179790 1.11205
0.2 0.220567 0.780291 0.0345301 0.00126685 0.214624 417.721 174583 1.1026
0.21 0.228307 0.781981 0.0381675 0.00154302 0.236607 411.7 169595 1.13013
0.22 0.235911 0.745855 0.0423016 0.00188375 0.246959 405.857 164822 1.14649
0.23 0.243187 0.70416 0.0459052 0.00220943 0.255788 400.437 160452 1.11196
0.24 0.250263 0.683088 0.0495934 0.00257612 0.279865 395.15 156251 1.13526
0.25 0.257042 0.657922 0.0537002 0.00300967 0.290208 389.726 151998 1.14973
0.26 0.263961 0.664453 0.0581254 0.00351855 0.310116 384.473 147938 1.18409
0.27 0.270396 0.645262 0.0622474 0.00402821 0.327414 379.499 144143 1.20994
0.28 0.276468 0.641083 0.0662653 0.00455687 0.341042 374.91 140687 1.22987
0.29 0.282763 0.625861 0.0705589 0.0051541 0.348678 370.138 137133 1.22074
0.3 0.289416 0.635008 0.0752668 0.00586858 0.390713 364.976 133350 1.30173
0.31 0.295607 0.624752 0.0800063 0.00662262 0.411757 360.213 129902 1.32936
0.32 0.302028 0.616586 0.0852918 0.0075109 0.425195 355.043 126207 1.33525
0.33 0.308047 0.634154 0.0899028 0.00834371 0.455908 350.518 123024 1.39734
0.34 0.314426 0.624446 0.095387 0.00938317 0.481966 345.399 119468 1.42322
0.35 0.320622 0.640784 0.100903 0.0104975 0.520086 340.38 116033 1.46934
0.36 0.327688 0.649709 0.108337 0.0120859 0.558508 334.369 111988 1.53786
0.37 0.33398 0.643946 0.114157 0.0134112 0.590769 329.442 108723 1.564
0.38 0.341176 0.67331 0.12141 0.0151663 0.645558 323.739 105008 1.63862
0.39 0.347112 0.686676 0.126893 0.016567 0.686887 319.182 102089 1.70572
0.4 0.354596 0.729622 0.13535 0.0188594 0.777279 312.903 98139.8 1.85164
0.41 0.36189 0.747018 0.143673 0.0212465 0.849481 306.9 94431.7 1.93848
0.42 0.368771 0.777812 0.15139 0.0235651 0.88593 301.482 91143.4 1.98882
0.43 0.37759 0.845906 0.162455 0.0271986 1.08086 294.083 86773.6 2.28312
0.44 0.386494 0.889095 0.17454 0.0314028 1.22856 286.463 82370.3 2.45242
0.45 0.395696 0.964218 0.186583 0.0358911 1.37945 278.779 78051.5 2.66209
0.46 0.405036 1.07268 0.200205 0.0414739 1.74266 271.086 73873.9 3.09669
0.47 0.41768 1.25245 0.220574 0.0505613 2.33891 260.074 68102.2 3.79311
0.48 0.431407 1.52785 0.245028 0.0629216 3.45928 248.092 62137.5 4.93618
0.49 0.447536 1.71553 0.275026 0.0793903 4.40924 234.13 55478.2 5.76596
0.5 0.467067 1.82294 0.316273 0.104933 5.65061 216.74 47700.6 6.68432
0.51 0.482593 1.729 0.349397 0.127498 6.12161 203.777 42230 6.78109
0.52 0.499773 1.28325 0.389318 0.156166 5.09338 189.028 36237.5 5.14811
0.53 0.509554 1.14057 0.408507 0.171099 4.58728 182.131 33611.9 4.55938
0.54 0.519027 0.859063 0.428046 0.186605 3.60652 175.198 31009 3.32455
0.55 0.526645 0.712503 0.442256 0.198412 2.95495 170.238 29225.3 2.60794
