0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.7 0.393027 0.301215 0.0754836 0.00585322 0.127909 432.125 186965 0.77075
0.71 0.396178 0.301559 0.0767857 0.00605507 0.129019 432.93 187666 0.773247
0.72 0.399361 0.300272 0.0775496 0.00616952 0.124464 432.85 187593 0.7519
0.73 0.402082 0.301876 0.078888 0.00638172 0.124981 433.812 188431 0.752223
0.74 0.405226 0.304001 0.0796612 0.00650594 0.124566 433.839 188455 0.742239
0.75 0.408227 0.299063 0.0806099 0.00666081 0.125075 434.291 188850 0.739628
0.76 0.411302 0.305362 0.0815183 0.00681211 0.126474 434.164 188745 0.749416
0.77 0.414406 0.306394 0.0823253 0.00694381 0.124436 434.344 188900 0.733802
0.78 0.417638 0.304431 0.0837341 0.00718461 0.127905 435.13 189593 0.74943
0.79 0.420352 0.306536 0.0847947 0.0073618 0.125158 435.657 190046 0.725693
0.8 0.42348 0.308341 0.0858714 0.0075514 0.127798 436.289 190607 0.742975
0.81 0.426531 0.298637 0.0866463 0.00768081 0.12319 436.247 190566 0.720034
0.82 0.430157 0.305646 0.0878137 0.00789148 0.126602 436.661 190937 0.737753
0.83 0.433039 0.307814 0.0891456 0.00812837 0.12591 437.409 191590 0.725399
0.84 0.435946 0.312272 0.089927 0.00826861 0.124627 437.828 191953 0.704827
0.85 0.438962 0.309451 0.0911056 0.00848575 0.125712 438.335 192407 0.72214
0.86 0.442312 0.310853 0.0924295 0.00873124 0.125935 439.193 193162 0.719627
0.87 0.445126 0.312663 0.0929362 0.00882715 0.125803 438.706 192731 0.702861
0.88 0.448721 0.320769 0.0945976 0.00914472 0.128307 440.129 193985 0.70019
0.89 0.451831 0.313977 0.0954832 0.00930816 0.123695 440.373 194203 0.700128
0.9 0.454697 0.314662 0.0965248 0.00951403 0.126074 440.704 194504 0.715619
0.91 0.458007 0.321258 0.098047 0.00981459 0.127469 442.065 195709 0.713236
0.92 0.461311 0.318265 0.0990775 0.0100172 0.125716 442.228 195850 0.699935
0.93 0.464077 0.320771 0.0996231 0.0101282 0.125997 441.984 195633 0.687581
0.94 0.467654 0.322219 0.100932 0.0103968 0.128342 442.726 196295 0.693333
0.95 0.470764 0.324398 0.10231 0.0106773 0.127348 443.482 196969 0.695796
0.96 0.474115 0.31852 0.103546 0.0109322 0.126207 444.307 197708 0.700808
0.97 0.477202 0.32246 0.104546 0.0111432 0.126749 444.672 198031 0.691264
0.98 0.480595 0.322593 0.105896 0.0114295 0.126674 445.462 198732 0.678028
0.99 0.483851 0.32836 0.10653 0.0115628 0.124631 445.379 198653 0.65759
