0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.489999 1.01349 1 1 0 1022.93 1.0464e+06 0.111518
0.02 -0.479988 1.00329 1 1 0 1021.84 1.04416e+06 0.113106
0.03 -0.469938 0.998353 1 1 0 1020.8 1.04203e+06 0.112234
0.04 -0.459885 1.01853 1 1 2.17003e-06 1019.7 1.0398e+06 0.113147
0.05 -0.449798 0.994132 1 0.999999 6.94305e-06 1018.59 1.03754e+06 0.109714
0.06 -0.439703 1.02879 0.999991 0.999982 0.000149681 1017.5 1.03531e+06 0.111182
0.07 -0.429563 1.01527 0.999946 0.999893 0.000768653 1016.43 1.03314e+06 0.109965
0.08 -0.419253 1.02691 0.999782 0.999565 0.00271701 1015.29 1.03082e+06 0.111355
0.09 -0.408717 1.04355 0.999355 0.998711 0.00709398 1014.11 1.02843e+06 0.11362
0.1 -0.397915 1.10973 0.998462 0.996928 0.0153175 1012.83 1.02583e+06 0.114144
0.11 -0.386487 1.17204 0.996895 0.993805 0.0283996 1011.49 1.02313e+06 0.116364
0.12 -0.374167 1.25155 0.994298 0.988639 0.0484347 1009.85 1.01982e+06 0.117391
0.13 -0.36104 1.39467 0.990569 0.981243 0.0750246 1008.01 1.0161e+06 0.118076
0.14 -0.346825 1.50624 0.985379 0.970999 0.110673 1005.85 1.01175e+06 0.123129
0.15 -0.331158 1.62723 0.978378 0.957264 0.156275 1003.26 1.00656e+06 0.129446
0.16 -0.314027 1.79774 0.969371 0.939739 0.213887 1000.3 1.00062e+06 0.134815
0.17 -0.29468 2.03307 0.957637 0.917157 0.297367 996.49 993017 0.151711
0.18 -0.273574 2.26904 0.943323 0.889979 0.382807 991.966 984027 0.167183
0.19 -0.249265 2.58699 0.92489 0.855599 0.538365 986.23 972686 0.196722
0.2 -0.220772 3.06582 0.900448 0.811074 0.769276 978.231 956986 0.254448
0.21 -0.185008 4.29594 0.865345 0.74931 1.33822 966.261 933744 0.412206
0.22 0.201216 0.877178 0.0802106 0.00662149 0.491568 489.902 240167 1.51109
0.23 0.209349 0.816688 0.0749817 0.00579641 0.436152 483.311 233753 1.47397
0.24 0.21685 0.726748 0.0707121 0.0051602 0.384009 477.565 228224 1.35108
0.25 0.224195 0.691813 0.0676099 0.00471741 0.337097 472.687 223583 1.26915
0.26 0.230366 0.641007 0.0652551 0.00439683 0.307043 468.698 219827 1.22645
0.27 0.236751 0.598256 0.063083 0.00411311 0.28512 464.841 216225 1.17277
0.28 0.242428 0.563179 0.0615997 0.0039199 0.257925 461.596 213213 1.10123
0.29 0.248136 0.525429 0.0598374 0.0037033 0.243869 458.282 210167 1.08622
0.3 0.253332 0.518629 0.0588426 0.003583 0.231448 455.672 207785 1.08379
0.31 0.258468 0.49911 0.0575479 0.00342889 0.217633 452.823 205196 1.04907
0.32 0.26303 0.476937 0.0569464 0.00335872 0.208498 450.762 203336 1.03657
0.33 0.267871 0.462538 0.0567026 0.00332987 0.200185 448.93 201691 1.03056
0.34 0.272128 0.441906 0.0562145 0.00327474 0.194262 447.139 200086 1.00614
0.35 0.276742 0.424808 0.0559993 0.00325082 0.189083 445.315 198462 1.007
0.36 0.280974 0.42047 0.0558699 0.00323485 0.181449 444.054 197340 0.975338
0.37 0.285156 0.404248 0.0556488 0.00320534 0.168988 442.367 195840 0.926994
0.38 0.289041 0.393774 0.0555428 0.00319577 0.167903 440.966 194609 0.941314
0.39 0.293006 0.38628 0.0557503 0.00321818 0.162573 440.002 193761 0.926424
0.4 0.296911 0.383622 0.0557875 0.00322229 0.158468 438.8 192706 0.9126
0.41 0.300526 0.368093 0.0560701 0.00325383 0.154498 437.874 191894 0.896821
0.42 0.304039 0.360609 0.0563405 0.00328507 0.151987 437.074 191196 0.883714
0.43 0.307671 0.3618 0.0565471 0.00331016 0.150813 436.128 190377 0.899802
0.44 0.311375 0.348667 0.0568694 0.00334788 0.148924 435.39 189732 0.876759
0.45 0.314483 0.342109 0.0573273 0.00340188 0.147795 434.771 189200 0.886431
0.46 0.318566 0.34236 0.0578069 0.00345737 0.144912 433.921 188461 0.866686
0.47 0.321461 0.335048 0.0583182 0.00351644 0.141459 433.649 188223 0.842611
0.48 0.325071 0.331361 0.0587478 0.00356721 0.13908 432.928 187603 0.849187
0.49 0.328376 0.340386 0.0593773 0.00364416 0.13929 432.76 187463 0.857991
0.5 0.331492 0.321051 0.0597185 0.00368582 0.137694 432.035 186840 0.86039
0.51 0.334493 0.319559 0.060486 0.00377946 0.13655 431.975 186787 0.839228
0.52 0.337587 0.31073 0.0609945 0.00384004 0.132598 431.496 186374 0.82479
0.53 0.341122 0.316818 0.0617173 0.00393125 0.132832 431.339 186240 0.816098
0.54 0.344017 0.317116 0.0622607 0.00400185 0.133825 431.269 186186 0.828251
0.55 0.347314 0.314198 0.0633112 0.00413536 0.133063 431.37 186275 0.821819
0.56 0.350914 0.307679 0.0637876 0.00419778 0.13261 430.8 185788 0.825607
0.57 0.353614 0.307565 0.0642148 0.00425051 0.128315 430.496 185525 0.806227
0.58 0.356885 0.304282 0.065453 0.00441354 0.128555 430.913 185886 0.800825
0.59 0.359651 0.304697 0.0659533 0.00448291 0.129916 430.684 185697 0.819184
0.6 0.362706 0.299234 0.0667106 0.00458285 0.127249 430.719 185725 0.799457
0.61 0.365725 0.307592 0.0676618 0.0047134 0.127738 430.768 185773 0.804877
0.62 0.368835 0.302936 0.0685716 0.0048387 0.126933 431.239 186181 0.80245
0.63 0.371916 0.303513 0.0691917 0.00492649 0.127085 430.85 185845 0.786014
0.64 0.374879 0.301076 0.070099 0.00505569 0.127637 431.003 185979 0.778731
0.65 0.377695 0.295974 0.0710147 0.00518373 0.124634 431.166 186119 0.767073
0.66 0.381198 0.301457 0.0717895 0.00529917 0.126927 431.157 186118 0.779753
0.67 0.384109 0.301822 0.0730756 0.00548362 0.123432 431.842 186707 0.758951
0.68 0.387192 0.309018 0.0738598 0.00560515 0.12696 432.03 186877 0.77509
0.69 0.389877 0.297583 0.0746314 0.00572399 0.128676 432.039 186892 0.783851
