0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.46 0.318034 0.342748 0.0577713 0.00345078 0.141816 434.037 188560 0.861991
0.47 0.3215 0.337668 0.058219 0.00350469 0.141228 433.665 188241 0.859377
0.48 0.324716 0.323654 0.0586835 0.00356161 0.141423 433.057 187719 0.869278
0.49 0.32811 0.325361 0.0590475 0.0036039 0.137883 432.426 187171 0.846603
0.5 0.331615 0.328089 0.0597611 0.00369182 0.138738 432.133 186923 0.85497
0.51 0.334309 0.321121 0.0603628 0.0037632 0.134997 432.12 186910 0.826126
0.52 0.337695 0.31799 0.0609388 0.00383481 0.134328 431.621 186482 0.824807
0.53 0.340959 0.314544 0.061717 0.00393349 0.135302 431.497 186382 0.841653
0.54 0.34402 0.313912 0.0623992 0.004018 0.132624 431.294 186203 0.811813
0.55 0.347205 0.309581 0.0627642 0.00406306 0.129562 430.919 185888 0.827396
0.56 0.350637 0.309399 0.0636572 0.00418046 0.131884 430.642 185648 0.810994
0.57 0.353633 0.308026 0.0645181 0.00429248 0.131252 430.907 185884 0.827672
0.58 0.356724 0.311355 0.0654159 0.00440838 0.128249 430.92 185892 0.801995
0.59 0.359688 0.305288 0.0660007 0.00448932 0.130065 430.625 185643 0.807521
0.6 0.362821 0.309396 0.0666684 0.00457891 0.12886 430.63 185648 0.795005
0.61 0.36567 0.304606 0.0675497 0.00469623 0.125836 430.858 185846 0.787409
0.62 0.368904 0.305162 0.0687034 0.00485588 0.126096 431.315 186245 0.795889
0.63 0.371888 0.29927 0.0694454 0.00496299 0.128301 431.134 186093 0.795442
0.64 0.374321 0.3039 0.0698882 0.00502481 0.126402 431.022 185998 0.79016
0.65 0.37812 0.305565 0.0710424 0.00518918 0.125971 431.156 186109 0.76307
0.66 0.380874 0.297703 0.0718967 0.00531636 0.128483 431.351 186287 0.783752
0.67 0.383785 0.300639 0.0727741 0.00544472 0.127789 431.581 186490 0.788164
0.68 0.386926 0.301555 0.0737095 0.0055824 0.126477 431.675 186571 0.775841
0.69 0.389662 0.298517 0.0743822 0.0056824 0.124956 431.755 186641 0.767279
0.7 0.393111 0.301702 0.0755848 0.00586632 0.126107 432.359 187168 0.773076
0.71 0.395992 0.309143 0.0766076 0.00602291 0.125082 432.605 187381 0.760031
0.72 0.399064 0.298955 0.0774912 0.00616058 0.124552 433.004 187728 0.757534
0.73 0.402265 0.306925 0.0788977 0.00638445 0.125941 433.785 188406 0.747564
0.74 0.40505 0.305428 0.0794385 0.0064744 0.127593 433.484 188153 0.763101
0.75 0.408251 0.303895 0.0802905 0.00661122 0.12645 433.578 188236 0.756014
0.76 0.411148 0.310147 0.0820093 0.0068922 0.126324 434.916 189401 0.75325
0.77 0.414015 0.306364 0.0824989 0.00697393 0.125571 434.744 189253 0.746365
0.78 0.417162 0.302423 0.0834975 0.00714049 0.124551 435.142 189601 0.743006
0.79 0.420504 0.309242 0.0846881 0.00734376 0.125181 435.562 189963 0.724401
0.8 0.423732 0.302332 0.0858809 0.00755096 0.126313 436.279 190603 0.754839
0.81 0.426655 0.314679 0.0866556 0.00768985 0.128464 436.31 190626 0.735407
0.82 0.429997 0.30805 0.0880279 0.00792699 0.125096 437.001 191231 0.729375
0.83 0.4329 0.313954 0.089075 0.00811695 0.126717 437.629 191783 0.725687
0.84 0.435972 0.313853 0.0899323 0.00826863 0.123985 437.754 191895 0.724847
0.85 0.439003 0.314605 0.0912743 0.00852014 0.128173 438.594 192640 0.737109
0.86 0.442151 0.313727 0.0922565 0.00870437 0.129339 438.903 192911 0.729288
0.87 0.445397 0.319195 0.093369 0.0089104 0.127534 439.367 193317 0.717496
0.88 0.448631 0.31779 0.0945522 0.00913129 0.125133 440.148 194003 0.704619
0.89 0.451728 0.314744 0.0956183 0.0093355 0.124675 440.531 194334 0.679805
0.9 0.454921 0.313484 0.0969284 0.00959261 0.126402 441.391 195102 0.693933
0.91 0.457473 0.316738 0.0977774 0.00976008 0.126377 441.477 195188 0.710384
0.92 0.460919 0.323138 0.0988234 0.00997037 0.127908 442.054 195698 0.703216
0.93 0.464356 0.320131 0.0999244 0.0101895 0.126705 442.345 195958 0.703301
0.94 0.467524 0.316812 0.101056 0.0104175 0.125776 442.78 196341 0.690051
0.95 0.470389 0.317287 0.10234 0.0106802 0.125268 443.753 197207 0.687863
0.96 0.473977 0.326012 0.103379 0.0108972 0.126014 444.161 197571 0.686273
0.97 0.47728 0.319773 0.104466 0.0111231 0.124609 444.558 197918 0.663637
0.98 0.480563 0.323887 0.105856 0.0114214 0.126868 445.681 198932 0.68665
0.99 0.483722 0.320165 0.107047 0.0116727 0.124358 446.338 199511 0.664031
