0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.489998 1.01815 1 1 0 1022.95 1.04642e+06 0.113061
0.02 -0.479989 0.99435 1 1 0 1021.85 1.04418e+06 0.11043
0.03 -0.469963 1.00555 1 1 0 1020.74 1.04192e+06 0.111912
0.04 -0.459877 1.01026 1 1 0 1019.7 1.0398e+06 0.111445
0.05 -0.449834 0.985657 0.999999 0.999999 1.38833e-05 1018.61 1.03758e+06 0.111025
0.06 -0.439671 1.02508 0.999991 0.999982 0.000145385 1017.51 1.03534e+06 0.110863
0.07 -0.429532 1.00724 0.999946 0.999892 0.000773151 1016.4 1.03307e+06 0.113233
0.08 -0.419264 1.02553 0.999777 0.999555 0.00280957 1015.27 1.03078e+06 0.113687
0.09 -0.408773 1.07531 0.999356 0.998714 0.00711241 1014.11 1.02842e+06 0.114157
0.1 -0.397806 1.12082 0.998459 0.996922 0.0153439 1012.87 1.02592e+06 0.113776
0.11 -0.386455 1.19383 0.996881 0.993778 0.0285413 1011.45 1.02305e+06 0.114686
0.12 -0.374151 1.2802 0.994309 0.988661 0.0485951 1009.85 1.01981e+06 0.117741
0.13 -0.361076 1.37463 0.99057 0.981245 0.0751569 1007.99 1.01606e+06 0.1214
0.14 -0.346811 1.47574 0.985366 0.970972 0.111199 1005.85 1.01175e+06 0.122716
0.15 -0.331108 1.6583 0.978345 0.9572 0.156445 1003.29 1.0066e+06 0.128315
0.16 -0.313779 1.82227 0.969213 0.939433 0.214195 1000.24 1.0005e+06 0.139239
0.17 -0.294876 1.99458 0.957835 0.917533 0.288528 996.595 993226 0.146978
0.18 -0.273254 2.30773 0.943067 0.8895 0.396428 991.813 983722 0.169566
0.19 -0.249095 2.55926 0.924635 0.855124 0.526069 986.11 972449 0.194303
0.2 -0.220476 3.13573 0.900077 0.810412 0.789834 978.106 956743 0.25818
0.21 -0.184489 4.22101 0.864776 0.748322 1.33026 966.054 933343 0.412538
0.22 0.201223 0.871876 0.0800944 0.006601 0.486674 489.901 240169 1.53951
0.23 0.209269 0.787229 0.0751712 0.00582649 0.440214 483.629 234060 1.46597
0.24 0.217201 0.715678 0.0704672 0.0051217 0.374592 477.271 227940 1.3367
0.25 0.223967 0.674192 0.0675172 0.00470152 0.32935 472.699 223591 1.23565
0.26 0.230544 0.625511 0.0651556 0.00438367 0.306646 468.728 219853 1.20752
0.27 0.236634 0.602719 0.063135 0.00411784 0.281213 465.021 216391 1.16621
0.28 0.242378 0.565871 0.0612339 0.00387723 0.262575 461.305 212948 1.12763
0.29 0.248055 0.531209 0.0598367 0.00370437 0.24616 458.409 210284 1.09578
0.3 0.253124 0.517416 0.0586895 0.00356614 0.233629 455.547 207671 1.08008
0.31 0.258318 0.486412 0.0579958 0.00348038 0.217144 453.436 205751 1.04321
0.32 0.26323 0.468756 0.0572935 0.00339859 0.20888 451.18 203712 1.02871
0.33 0.267741 0.459797 0.0567022 0.00333064 0.201604 448.94 201697 1.01286
0.34 0.272423 0.436107 0.0564155 0.00329795 0.195227 447.252 200189 1.01403
0.35 0.276878 0.426113 0.0557445 0.0032168 0.179948 445.17 198326 0.961012
0.36 0.281063 0.420437 0.0556655 0.00320923 0.176928 443.717 197038 0.954777
0.37 0.285013 0.405503 0.0555909 0.00320102 0.172292 442.462 195926 0.939547
0.38 0.289267 0.396205 0.0557851 0.00322368 0.169316 441.238 194849 0.941378
0.39 0.292731 0.383523 0.0557293 0.00321535 0.161865 440.038 193791 0.919667
0.4 0.296832 0.378722 0.0558384 0.00322914 0.16015 438.744 192658 0.926416
0.41 0.300387 0.3704 0.0560941 0.00325798 0.156552 437.921 191937 0.90578
0.42 0.304158 0.349612 0.0563982 0.00329379 0.155022 437.175 191286 0.894578
0.43 0.307598 0.353442 0.0562873 0.00327888 0.148177 435.983 190249 0.894312
0.44 0.311449 0.353076 0.0570032 0.00336527 0.151734 435.508 189839 0.898127
0.45 0.314713 0.349156 0.0573615 0.00340325 0.144517 434.855 189269 0.872986
