0 -1 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.74 0.370783 0.389791 0.180231 0.0328808 0.309619 503.899 254254 0.909784
0.75 0.375033 0.385597 0.180277 0.0328865 0.29712 503.415 253748 0.851988
0.76 0.379153 0.389201 0.180703 0.0330358 0.289676 503.453 253786 0.838969
0.77 0.38247 0.382911 0.181119 0.0331946 0.292094 503.48 253823 0.853475
0.78 0.386509 0.377873 0.18106 0.0331658 0.282971 502.814 253139 0.809485
0.79 0.389878 0.376927 0.181342 0.0332694 0.280327 502.474 252806 0.818785
0.8 0.394015 0.369568 0.181397 0.0332765 0.267522 502.274 252594 0.781937
0.81 0.397675 0.368645 0.181606 0.0333689 0.276099 501.63 251968 0.826923
0.82 0.401595 0.368432 0.181835 0.0334527 0.273011 501.543 251880 0.811779
0.83 0.40467 0.364048 0.18239 0.0336485 0.265425 501.524 251851 0.780238
0.84 0.408339 0.360774 0.183202 0.0339464 0.262886 501.852 252187 0.786996
0.85 0.411616 0.356062 0.183591 0.0340901 0.260602 501.885 252222 0.78023
0.86 0.416085 0.363909 0.183848 0.0341812 0.255208 501.633 251966 0.765533
0.87 0.419598 0.358937 0.184269 0.0343305 0.248624 501.406 251735 0.749817
0.88 0.422899 0.357191 0.185341 0.0347338 0.250317 502.105 252440 0.747802
0.89 0.426346 0.349391 0.185768 0.0348933 0.248309 501.825 252161 0.745027
0.9 0.430239 0.35042 0.185599 0.0348292 0.24459 501.039 251375 0.742498
0.91 0.433396 0.353516 0.186833 0.0352956 0.246295 501.912 252251 0.733837
0.92 0.4369 0.34936 0.187412 0.035511 0.242689 501.825 252163 0.724903
0.93 0.440643 0.346564 0.188292 0.0358364 0.236986 502.229 252569 0.716551
0.94 0.444163 0.348669 0.188735 0.0359887 0.225392 502.136 252465 0.687951
0.95 0.447684 0.343247 0.189276 0.0362057 0.230653 502.236 252573 0.696716
0.96 0.451103 0.346438 0.189807 0.0364115 0.230908 502.011 252355 0.7064
0.97 0.453902 0.336674 0.190813 0.0367842 0.222552 502.682 253021 0.680329
0.98 0.457559 0.344689 0.191459 0.0370406 0.225659 502.74 253086 0.68539
0.99 0.461009 0.345991 0.192416 0.0374065 0.222639 503.303 253650 0.673704
