0 -1 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.989998 1.01815 1 1 0 1022.95 1.04642e+06 0.113061
0.02 -0.979989 0.99435 1 1 0 1021.85 1.04418e+06 0.11043
0.03 -0.969963 1.00555 1 1 0 1020.74 1.04192e+06 0.111912
0.04 -0.959883 1.00302 1 1 0 1019.7 1.03979e+06 0.110929
0.05 -0.94983 0.998938 1 1 0 1018.64 1.03763e+06 0.11113
0.06 -0.939684 1.01901 1 1 0 1017.52 1.03536e+06 0.112732
0.07 -0.929571 1.01243 1 1 0 1016.41 1.03311e+06 0.11325
0.08 -0.919432 1.00521 1 0.999999 4.33941e-06 1015.29 1.03082e+06 0.114127
0.09 -0.909283 1.02407 0.999998 0.999996 2.21581e-05 1014.23 1.02868e+06 0.113186
0.1 -0.898982 1.02983 0.999989 0.999978 0.000108708 1013.14 1.02647e+06 0.112634
0.11 -0.888829 1.02032 0.999967 0.999934 0.00029961 1012.05 1.02426e+06 0.111831
0.12 -0.878442 1.04158 0.999914 0.999829 0.000706229 1010.92 1.02197e+06 0.113533
0.13 -0.868099 1.05277 0.999803 0.999607 0.00149554 1009.78 1.01966e+06 0.115368
0.14 -0.857643 1.02506 0.999602 0.999204 0.00283113 1008.6 1.01729e+06 0.112342
0.15 -0.846895 1.08259 0.999273 0.998548 0.00478933 1007.49 1.01506e+06 0.113516
0.16 -0.835901 1.11222 0.998753 0.99751 0.00772232 1006.24 1.01254e+06 0.115179
0.17 -0.824756 1.15377 0.998055 0.996117 0.011776 1005.03 1.0101e+06 0.114791
0.18 -0.812941 1.18584 0.997002 0.994019 0.016898 1003.61 1.00726e+06 0.114939
0.19 -0.800831 1.23422 0.995656 0.991339 0.022934 1002.29 1.0046e+06 0.117712
0.2 -0.788029 1.29449 0.993858 0.987764 0.0309666 1000.69 1.0014e+06 0.118336
0.21 -0.774865 1.37156 0.99164 0.983365 0.0403771 999.164 998353 0.118376
0.22 -0.761016 1.41477 0.988916 0.977974 0.0517257 997.525 995083 0.121318
0.23 -0.746114 1.50347 0.985621 0.971475 0.0645763 995.601 991249 0.123085
0.24 -0.730844 1.57212 0.981742 0.963851 0.078552 993.538 987148 0.125724
0.25 -0.714319 1.68217 0.977137 0.954839 0.0968915 991.431 982967 0.12972
0.26 -0.696991 1.789 0.971861 0.944567 0.116494 989.029 978213 0.132069
0.27 -0.678827 1.91763 0.965807 0.93285 0.140026 986.38 972982 0.137227
0.28 -0.659607 1.9966 0.958995 0.919751 0.161831 983.539 967387 0.141208
0.29 -0.638683 2.09385 0.951127 0.904738 0.188843 980.311 961052 0.148274
0.3 -0.616467 2.2781 0.942055 0.887583 0.223407 976.594 953783 0.159906
0.31 -0.593188 2.42992 0.932155 0.869054 0.262087 972.753 946301 0.171503
0.32 -0.567832 2.62966 0.920788 0.848023 0.309658 968.192 937452 0.184936
0.33 -0.540984 2.80518 0.908067 0.824793 0.360456 963.073 927573 0.198195
0.34 -0.51155 3.07029 0.893297 0.798236 0.432964 957.083 916083 0.228584
0.35 -0.48017 3.30841 0.876898 0.769258 0.508271 950.357 903263 0.256364
0.36 -0.44163 3.96889 0.855036 0.731512 0.680407 940.923 885450 0.339188
0.37 -0.39995 4.79754 0.829938 0.689377 0.902214 929.654 864413 0.457618
0.38 -0.348344 6.24762 0.796487 0.635292 1.3645 914.064 835761 0.711427
0.39 -0.264675 11.656 0.734372 0.541477 3.21114 882.178 778903 1.93271
0.4 -0.00675043 20.8329 0.485754 0.243063 10.2333 733.244 540591 10.0404
0.41 0.101267 5.23408 0.363196 0.134369 3.45347 652.076 426406 4.49752
0.42 0.141771 2.8446 0.317225 0.102131 2.05543 619.611 384712 3.05079
0.43 0.163402 2.15516 0.294426 0.087903 1.6297 603.209 364529 2.57463
0.44 0.181721 1.70804 0.275998 0.0771855 1.3227 589.76 348393 2.22149
0.45 0.196777 1.3804 0.260751 0.0688436 1.09098 578.186 334808 1.95444
0.46 0.210469 1.15936 0.248226 0.06237 0.944037 568.538 323695 1.75787
0.47 0.222053 1.05575 0.238218 0.0574567 0.868769 560.812 314955 1.68546
0.48 0.231466 0.979411 0.230012 0.0535812 0.810689 553.999 307354 1.6535
0.49 0.240748 0.873229 0.223449 0.0505582 0.739126 548.756 301537 1.50252
0.5 0.248872 0.798687 0.218151 0.0481736 0.672242 544.425 296784 1.41583
0.51 0.257006 0.738858 0.211791 0.0454293 0.647911 539.214 291144 1.42657
0.52 0.263826 0.677701 0.208418 0.0439689 0.587848 535.992 287650 1.30111
0.53 0.270521 0.659314 0.204823 0.0424801 0.573237 533.016 284471 1.29247
0.54 0.277591 0.620703 0.200218 0.0405734 0.518693 528.816 279994 1.21617
0.55 0.283524 0.592795 0.197538 0.0395212 0.523389 526.141 277184 1.24304
0.56 0.289322 0.576311 0.195247 0.0386074 0.499896 524.004 274939 1.22399
0.57 0.294508 0.55645 0.193063 0.0377295 0.461092 521.797 272611 1.13893
0.58 0.300204 0.527819 0.190956 0.0369199 0.452535 519.855 270590 1.12953
0.59 0.305247 0.516849 0.189403 0.0363191 0.435075 518.02 268680 1.09718
0.6 0.310112 0.500951 0.188711 0.0360398 0.410903 517.182 267802 1.04535
0.61 0.315408 0.478881 0.186878 0.0353665 0.418536 515.291 265864 1.08135
0.62 0.319985 0.474852 0.185957 0.0350143 0.403346 514.103 264636 1.05033
0.63 0.324768 0.473442 0.184262 0.0343799 0.390835 512.054 262534 1.03705
0.64 0.329902 0.44932 0.182573 0.0337583 0.38287 510.149 260587 1.0236
0.65 0.334172 0.447117 0.182185 0.0336062 0.367568 509.395 259810 0.985419
0.66 0.337652 0.434174 0.182853 0.0338384 0.351956 509.78 260198 0.956449
0.67 0.342734 0.432639 0.181638 0.0333936 0.34477 508.068 258453 0.9396
0.68 0.346514 0.421174 0.181855 0.0334731 0.340426 508.217 258605 0.926806
0.69 0.350679 0.412793 0.181202 0.0332364 0.335795 506.997 257368 0.922569
0.7 0.355311 0.417373 0.180566 0.0330014 0.326988 505.914 256272 0.914056
0.71 0.359104 0.397736 0.180851 0.0330926 0.312583 505.902 256251 0.876456
0.72 0.363068 0.393726 0.180153 0.0328437 0.311019 504.625 254970 0.891008
0.73 0.367296 0.39061 0.180085 0.0328146 0.302984 503.996 254330 0.864843
0.74 0.371238 0.389859 0.18037 0.0329288 0.307724 504.151 254497 0.880766
0.75 0.374831 0.387798 0.180709 0.0330442 0.298427 503.904 254247 0.866864
0.76 0.378827 0.387993 0.180444 0.0329616 0.304221 503.222 253571 0.884633
0.77 0.382979 0.381157 0.180182 0.0328545 0.291058 502.432 252767 0.850855
0.78 0.386174 0.37624 0.181472 0.0333246 0.289737 503.276 253616 0.837513
0.79 0.390306 0.371412 0.181041 0.033158 0.278528 502.393 252720 0.809288
0.8 0.393851 0.368721 0.181668 0.0333938 0.281102 502.586 252927 0.83258
0.81 0.397143 0.364411 0.182 0.0335079 0.273086 502.309 252643 0.808665
0.82 0.401028 0.364697 0.182415 0.0336616 0.271267 502.185 252521 0.804882
0.83 0.404715 0.366832 0.18272 0.0337628 0.261163 502.012 252341 0.780351
0.84 0.408341 0.358161 0.183712 0.0341313 0.261499 502.657 252982 0.754657
0.85 0.41204 0.350662 0.183935 0.0342028 0.251249 502.139 252463 0.747876
0.86 0.415413 0.357068 0.184264 0.0343403 0.259315 502.003 252343 0.778765
0.87 0.419512 0.358875 0.184015 0.0342373 0.24878 501.146 251475 0.752083
0.88 0.422818 0.358907 0.185352 0.0347489 0.257537 502.158 252504 0.771632
0.89 0.426565 0.352469 0.185275 0.0347049 0.24468 501.273 251599 0.727162
0.9 0.430433 0.353903 0.185799 0.0349001 0.242497 501.432 251759 0.719745
0.91 0.433315 0.349066 0.186713 0.0352414 0.2404 501.856 252192 0.727965
0.92 0.43653 0.347449 0.18789 0.0356785 0.235278 502.354 252690 0.714659
0.93 0.440375 0.345979 0.188215 0.0358002 0.232453 502.212 252548 0.710384
0.94 0.444061 0.345938 0.188148 0.0357777 0.231572 501.479 251810 0.69874
0.95 0.447318 0.348091 0.189378 0.0362425 0.229456 502.221 252558 0.697324
0.96 0.451175 0.346286 0.1896 0.0363312 0.229742 502.028 252375 0.710044
0.97 0.454343 0.346619 0.190985 0.0368619 0.229487 502.794 253137 0.686235
0.98 0.457807 0.34665 0.191624 0.0370996 0.22315 503.025 253363 0.668498
0.99 0.461399 0.340816 0.191903 0.0371987 0.216476 502.507 252844 0.666158
