0 -1 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.990005 1.00311 1 1 0 1022.92 1.04637e+06 0.109129
0.02 -0.979977 0.992949 1 1 0 1021.83 1.04414e+06 0.112652
0.03 -0.969943 0.997683 1 1 0 1020.76 1.04196e+06 0.113492
0.04 -0.959859 1.01615 1 1 0 1019.7 1.0398e+06 0.111672
0.05 -0.949765 1.01243 1 1 0 1018.61 1.03757e+06 0.11261
0.06 -0.939724 1.01134 1 1 0 1017.5 1.03531e+06 0.110832
0.07 -0.929531 1.01345 1 1 1.24002e-06 1016.4 1.03308e+06 0.112071
0.08 -0.919427 1.01333 0.999999 0.999999 7.59283e-06 1015.32 1.03089e+06 0.111934
0.09 -0.909243 1.02196 0.999997 0.999994 3.46597e-05 1014.18 1.02857e+06 0.113912
0.1 -0.899029 1.02144 0.99999 0.999979 0.000103542 1013.18 1.02654e+06 0.112811
0.11 -0.88889 1.02579 0.999964 0.999928 0.000326946 1012.01 1.02418e+06 0.112931
0.12 -0.878598 1.03757 0.999911 0.999823 0.000742823 1010.92 1.02198e+06 0.111323
0.13 -0.868126 1.05684 0.999807 0.999614 0.00147771 1009.8 1.01971e+06 0.113168
0.14 -0.857516 1.08226 0.999607 0.999216 0.00280762 1008.6 1.01729e+06 0.113746
0.15 -0.846851 1.07774 0.999265 0.998531 0.00492194 1007.5 1.01508e+06 0.113263
0.16 -0.836098 1.12072 0.998781 0.997565 0.00761235 1006.33 1.01273e+06 0.113539
0.17 -0.824657 1.15596 0.998035 0.996078 0.0114732 1005.02 1.01008e+06 0.113483
0.18 -0.812921 1.18851 0.99702 0.994055 0.0166969 1003.67 1.00737e+06 0.116435
0.19 -0.800747 1.22005 0.995649 0.991324 0.0229008 1002.26 1.00454e+06 0.117305
0.2 -0.788046 1.31853 0.993863 0.987775 0.0316136 1000.74 1.00151e+06 0.116428
0.21 -0.774906 1.3418 0.991633 0.983351 0.0403259 999.14 998307 0.118471
0.22 -0.760944 1.44822 0.988941 0.978024 0.051861 997.442 994917 0.118563
0.23 -0.746215 1.47482 0.985623 0.971479 0.0636475 995.624 991295 0.120786
0.24 -0.730934 1.59893 0.981785 0.963936 0.080354 993.632 987334 0.124383
0.25 -0.714449 1.65365 0.977152 0.954868 0.0961973 991.418 982942 0.127796
0.26 -0.696944 1.78824 0.971778 0.944404 0.115364 988.957 978070 0.13102
0.27 -0.67849 1.89185 0.965715 0.932671 0.137107 986.308 972840 0.137314
0.28 -0.659235 1.99243 0.958888 0.919544 0.161275 983.485 967281 0.142359
0.29 -0.638655 2.13063 0.95099 0.904478 0.191441 980.237 960907 0.150848
0.3 -0.616529 2.22291 0.942065 0.887603 0.22268 976.673 953935 0.156556
0.31 -0.593324 2.44249 0.932145 0.869035 0.261896 972.803 946397 0.167095
0.32 -0.568608 2.56227 0.921167 0.848714 0.29635 968.414 937882 0.180108
0.33 -0.541478 2.82417 0.908304 0.82522 0.357751 963.248 927911 0.203365
0.34 -0.51161 3.09227 0.893177 0.798021 0.433746 957.095 916105 0.225425
0.35 -0.479369 3.45641 0.876285 0.768191 0.519195 950.137 902850 0.266564
0.36 -0.443285 3.89872 0.856111 0.733337 0.657034 941.439 886418 0.326175
0.37 -0.40175 4.59119 0.83127 0.691566 0.865641 930.386 865769 0.438751
0.38 -0.350535 6.10413 0.797929 0.637568 1.33002 914.823 837141 0.690985
0.39 -0.27333 10.4371 0.741342 0.551534 2.87321 886.039 785656 1.7092
